ID,status,Facility Name,Company,City,State,"Affected Population (25 mi), statsamerica.org",Port,Maximum Capacity - via SELC,Yearly Acres,Open Year,Potential Acres Impacted,Potential Pellets Produced,Operating Year,Edition added,Lat,50 lossyr,75 lossyr,zipcode,zipW,zipN,zipE,zipS
1,Operating,Morehouse Bioenergy,Drax,Bastrop,LA,"183,793",Baton Rouge,"525,000","12,600",2015,"113,400","4,725,000",2015-01-01,07-2021,32.9559,"[24069.211659634002,23267.619912092978,20664.000356579134,26815.20299928156,30648.89647447235,26294.635071456985,25227.50136457309,24022.721106902452,23919.101701081614,27235.546693471104,22545.47807066998,21276.72828867441,24600.280119173152,28786.48641100468,27676.468541371734,29551.055317814225,29007.464661486483,25516.958183904528,19673.79780889443,12451.42755993753,14648.883145628064]","[50694.20834701259,46289.19906663401,43561.45048860248,57627.98045384137,60388.5703596235,59281.73647313944,57028.180509473656,52674.30289900854,53908.14239981171,60332.3363690133,45981.92106044235,50913.17113712632,53870.74379450566,62754.37814808689,55645.43992287488,62032.65768497629,62181.059198214694,54792.2353261796,45370.910918700836,32889.7528958729,32772.50855443969]
",71220,71260,71635,71261,71229
2,Operating,Amite Bioenergy,Drax,Gloster,MS,"60,286",Baton Rouge,"525,000","12,600",2015,"113,400","4,725,000",2015-01-01,07-2021,31.1849,"[20113.010262860873,17591.51122351055,19698.100854347478,18869.248843718407,25349.315474213076,16919.4862947819,20690.15022218549,21922.075434229522,16293.62189555707,19838.415196270224,17558.754394951076,21501.741094592715,24149.879634362456,24714.191041324822,21900.63680538002,29316.680212953786,29599.21165790324,26422.394263708087,22293.966205289067,16942.161987306412,15380.0038577608]","[41847.51217274459,35927.74942568326,37456.98272725882,39940.6447163111,53510.98001096956,44387.95462066129,42775.569618439054,46619.45510440899,32152.84362726515,38801.70980861165,36641.30125636673,41564.001867748164,42811.933908371604,44789.323043592914,40533.31448704984,51014.09522547053,52754.92997858476,45115.40064932406,40151.40912955852,33381.852196486456,28757.934148988737]
",39638,39633,39653,39645,39631
3,Operating,LaSalle Bioenergy,Drax,Urania,LA,"33,210",Baton Rouge,"525,000","12,600",2017,"88,200","3,675,000",2017-01-01,07-2021,31.8785,"[26879.28452239349,23073.61259598769,19679.922984665187,28928.16890058886,31760.74129890292,29230.50922418144,31747.110878699063,28156.20105182272,23057.72387474171,25944.013914273106,25098.706280192346,26356.07313434623,27522.630017519867,27850.97109354253,26557.286594099674,26772.784021030824,28500.721692620777,22483.996971094468,20199.631676691944,16811.518007086113,16362.64107936897]","[52167.79864487223,47235.26267183976,43569.53555127087,58382.37540882837,60361.748233467806,56140.97930196992,62928.3505223711,54242.66058591191,47725.158674862185,55754.72611861711,48788.763006902096,55634.12099018421,56376.81824559659,60262.061157889424,56114.32546313534,59238.43738258277,59475.255379384194,48781.90002010833,43682.43508314115,36784.08146666549,34613.02560701639]",71465,71479,71441,71401,71342
4,Operating,Enviva Lucedale,Enviva,Lucedale,MS,"38,392",Pascagoula,"1,400,000","33,600",2022,"67,200","2,800,000",2022-01-01,12-2021,30.9188,"[23349.420498982654,18982.825908753275,20549.3828702501,20018.778915600276,27093.708236114715,25553.209999402265,28909.29153705294,23815.606677781143,15650.123485593766,20774.406646468626,18910.523741936275,20685.61692138454,18494.648426834883,22840.491192098747,22838.23442010077,29994.873785800897,26041.108618946844,26849.994499299555,20825.204767254545,17830.034159513394,17331.470407205903]","[53482.691924678795,43238.068367601176,46911.01413197115,53913.59076291657,72295.5602165905,60491.97987855146,60781.20123481252,59333.914087031546,38973.97597974435,47112.84219448584,44038.39412320597,48842.30651525152,41691.105852405715,52217.37614554395,52715.57993514567,64615.33840246769,60085.21428666826,54169.55008195194,46203.506875388,45401.824828065226,39405.10998807974]",39452,39577,39451,36587,39562
5,Operating,Enviva Waycross,Enviva,Waycross,GA,"85,189",Savannah,"800,000","19,200",2011,"249,600","10,400,000",2011-01-01,07-2021,31.2565,"[37993.579496250815,36037.90262899282,26806.745177251887,36432.15473364902,32164.204339744418,37655.7418568781,60628.211310076615,35834.6324971334,27349.560888045748,38311.34096243508,61131.604195868444,52787.662402393464,45840.19603939941,47455.80006571071,44793.26237717533,50624.75872971103,75964.87628458478,36330.8319969177,35086.12266666162,28714.340461598324,28287.059636118378]","[72274.18194431729,65495.81287773878,53251.69240285855,71779.34601325639,64400.455456788346,72744.68642142734,100646.9968313911,66678.10274808673,51947.05038129619,68738.38004795114,92913.34556252346,98047.81375270792,83164.535700265,85840.7094443248,80980.01898184822,99060.24444875465,126497.36533769002,71795.70011864844,72375.24154020761,57664.7978082068,53970.74928044996]
",31503,31552,31516,31542,31550
6,Operating,Enviva Northampton,Enviva,Garysburg,NC,"86,679",Chesapeake,"750,000","18,000",2013,"198,000","8,250,000",2013-01-01,07-2021,36.5051,"[23013.181638918864,21343.82921096895,18409.543471070127,25270.19299184288,27546.474985248064,27752.111594409682,27083.122185314107,25504.366188036503,22700.675830082004,24080.33361683838,18457.51297870251,19672.377912674463,27496.225349565317,32020.217109810477,32692.2074996027,34838.81979887659,39442.77067713468,32467.644108302193,31362.58163149723,26956.653210677945,28438.679559271335]","[47349.43124104373,43071.104810337274,35466.07402649161,49188.87889831797,54246.050636841785,56735.58643702147,52716.3505458103,51061.08514515088,40460.614490639724,44602.719140308036,36168.62170633715,38372.25048201885,47743.87043166827,56220.58382930476,58028.92433318837,64792.820741416755,69631.51793694506,58568.22160266665,54603.61624812107,48674.16788340279,48557.84165296844]
",27831,27870,27866,27845,27839
7,Operating,Enviva Southampton,Enviva,Franklin,VA,"1,538,744",Chesapeake,"745,000","17,880",2015,"160,920","6,705,000",2015-01-01,07-2021,36.6534,"[21622.717294311835,20037.372551769735,15395.129224956652,23547.727916845317,25345.588259881737,24232.712467339945,23266.617584622636,22034.635978355764,20443.90182758145,19597.478093764435,14916.467787263304,17100.560418677665,20815.009069228687,24931.912220627062,24905.62089003401,27313.38338436667,31019.203050546348,24984.45284785161,22719.21829114655,20728.10492473056,19433.58164148653]","[38065.94187943992,34675.08103040825,29762.56403562888,41422.789802813924,45988.018025231766,44420.03215252887,42792.20686484665,48811.39833492767,34969.948222836334,36515.48030610627,28041.33955741977,32556.203344751215,39697.084382923465,46730.35040881681,47058.44004644158,49789.525336909246,55000.50993934968,46833.14170665314,44048.89604995216,38430.31569246369,38844.15398305552]
",23851,23874,23837,23437,27818
8,Operating,Enviva Cottondale,Enviva,Cottondale,FL,"70,532",Panama City,"730,000","17,520",2008,"280,320","11,680,000",2008-01-01,07-2021,30.7401,"[16091.625691646039,17019.194505140906,27392.608100225305,22580.85689006946,18445.35372739059,25878.92259620902,19835.142222400525,21791.450297140418,19909.365119605834,22136.19911998602,22184.466399397956,30138.341139013053,27336.89993691653,30463.52195833417,29404.774105807293,31770.412053427975,29554.06125871544,51750.25072176784,73466.58577286018,27017.824986456944,19050.932425343017]","[31579.74595600924,32608.258759182776,43805.114739004006,41677.59060870988,34619.171155068216,46860.38733528994,39487.392818741355,41877.39658189151,36656.91791069446,40704.920443268515,39103.79639589001,54045.28261954703,49218.548538092735,54131.00411562657,51233.47217285257,59005.14163518443,63201.67570541026,83325.59884025858,97626.11784219099,52645.74803551887,42125.31938095816]
",32431,32463,32426,32446,32420
9,Operating,Enviva Sampson,Enviva,Faison,NC,"48,515",Wilmington,"600,000","14,400",2016,"115,200","4,800,000",2016-01-01,07-2021,35.1210,"[15874.574981606134,15160.503707566777,12474.945243065926,15626.574856580859,16784.891469743176,15806.368355267477,18133.80299036576,16288.557925813657,14963.66217845866,18589.08038688029,18957.017595467478,16529.841380282796,18111.74035057555,18739.14169798735,18859.854044918953,23103.418782354544,26917.79364530053,21931.003041146763,20573.408011217733,17602.66258173256,18041.01703166863]","[37253.361442470276,38709.99980683032,29704.644227875524,39084.66176084037,42715.22496631379,41011.93058122364,43758.13231221783,37861.22838657928,32130.24493522885,37426.28173540838,41324.19242591752,43115.43991410568,42031.45657444085,45539.38313721545,44963.509315843105,54483.57466191982,60355.68718151291,52260.74224050759,46861.61473428579,41640.438366782415,41521.65472942122]
",28341,28328,28366,28365,28398
10,Operating,Enviva Hamlet,Enviva,Hamlet,NC,"125,393",Wilmington,"600,000","14,400",2019,"72,000","3,000,000",2019-01-01,07-2021,34.9337,"[22373.59630930116,19961.024351498763,12829.086608570437,23253.149395929053,22694.42111198972,23278.165032497724,20860.66142311492,18169.102007696412,14743.10776600524,21844.661105005456,16092.511862590116,22332.229780587495,21102.957338905173,23555.0209851731,28261.670942780136,30862.946074789554,30901.741284261287,26472.207144553726,23015.088523390943,22279.113433171966,21561.44904427993]","[43921.37237324862,40773.53882594392,28192.994878920585,46846.71535280276,46441.72500511402,47963.43248490097,44026.82601805751,39986.14106573551,29591.60022155019,44515.188415983364,35476.47204523766,43441.88733326304,43691.06121609813,49542.700573605325,55767.44656946547,62786.51737830343,64773.479364552164,56437.48690340266,48217.63074343176,45661.15615800892,44150.19770783014]
",28345,28330,28363,28351,29596
